,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
122,OYO Rooms 591 Hauz Khas Village,SDA,Delhi,₹ 3249,₹ 2437,25% OFF,SOLD OUT 
123,OYO Rooms 555 Pitampura,"Rajdhani Enclave,Pitampura",Delhi,₹ 3299,₹ 2474,25% OFF,SOLD OUT 
124,OYO Rooms 545 Rohini Pitampura,"Saraswati Vihar, Pitampura",Delhi,₹ 3149,₹ 2362,25% OFF,SOLD OUT 
125,OYO Rooms 547 Paschim Vihar 2,"Paschim Enclave, Nh-10",Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
126,OYO Rooms 354 GK2 M Block Market,"E Block,Greater Kailash II",Delhi,₹ 2749,₹ 2062,25% OFF,SOLD OUT 
127,OYO Rooms 498 South Ex Market,"C Block, South Extension 1",Delhi,₹ 2399,₹ 1799,25% OFF,SOLD OUT 
128,OYO Premium 608 GK2 M Block Market,"Ground Floor, Greater Kailash II, Road No. 10, Near M Block Market",Delhi,₹ 2749,₹ 2062,25% OFF,SOLD OUT 
129,OYO Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi,₹ 1699,₹ 1274,25% OFF,SOLD OUT 
130,OYO Premium 208 GK 1 M Block Market,Greater Kailash,Delhi,₹ 6849,₹ 5137,25% OFF,SOLD OUT 
131,OYO Rooms 091 WEA Karol Bagh,Karol Bagh,Delhi,₹ 1999,₹ 1499,25% OFF,SOLD OUT 
132,OYO Rooms 124 Kirti Nagar,Kirti Nagar,Delhi,₹ 1549,₹ 1162,25% OFF,SOLD OUT 
133,OYO Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",Delhi,₹ 3549,₹ 2662,25% OFF,SOLD OUT 
134,OYO Rooms 039 Near Qutub Road Arya Nagar Paharganj,Paharganj,Delhi,₹ 1099,₹ 824,25% OFF,SOLD OUT 
135,OYO Homes 330 New Friends Colony,Friends Colony East,Delhi,₹ 3999,₹ 2999,25% OFF,SOLD OUT 
136,OYO Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",Delhi,₹ 3299,₹ 2474,25% OFF,SOLD OUT 
137,OYO Rooms 031 Near IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,₹ 3749,₹ 2812,25% OFF,SOLD OUT 
138,OYO Rooms 437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
139,OYO Rooms 541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",Delhi,₹ 3849,₹ 2887,25% OFF,SOLD OUT 
140,OYO Rooms 079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi,₹ 3249,₹ 2437,25% OFF,SOLD OUT 
141,OYO Rooms 190 Opp IGI Airport,"NH 8, Near IGI Airport Road No. 1, Mahipalpur Extension",Delhi,₹ 3749,₹ 2812,25% OFF,SOLD OUT 
142,OYO Rooms 506 GK 1 Market,Greater Kailash 1,Delhi,₹ 5099,₹ 3824,25% OFF,SOLD OUT 
143,OYO Rooms 540 Near Pitampura Metro,Dakshini Pitampura,Delhi,₹ 3499,₹ 2624,25% OFF,SOLD OUT 
144,OYO Rooms 051 New Friends Colony Market,New Friends Colony,Delhi,₹ 2949,₹ 2212,25% OFF,SOLD OUT 
145,OYO Premium 586 Near Meera Bagh,"Outer Ring Road, Meera Bagh",Delhi,₹ 3949,₹ 2962,25% OFF,SOLD OUT 
146,OYO Premium 311 Ring Road GK1 2,Greater Kailash 1,Delhi,₹ 4749,₹ 3562,25% OFF,SOLD OUT 
147,OYO Rooms 028 Friends Hospital NFC,Maharani Bagh,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
148,OYO Rooms 082 Patel Nagar Main Market,Main Market,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
149,OYO Premium 510 International Airport Terminal 3,Opposite Kapashera Police Station Kapashera,Delhi,₹ 3349,₹ 2512,25% OFF,SOLD OUT 
150,OYO Rooms 566 Saket J Block,"Opposite J Block Market, Saket",Delhi,₹ 3499,₹ 2624,25% OFF,SOLD OUT 
151,OYO Rooms 157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",Delhi,₹ 1899,₹ 1424,25% OFF,SOLD OUT 
152,OYO Rooms 184 Aerodrome Near IGI Airport,"Mahipalpur, NH-8, Near IGI Airport",Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
153,OYO Premium 069 Patel Nagar,Metro Pillar No. 162,Delhi,₹ 4499,₹ 3374,25% OFF,SOLD OUT 
154,OYO Rooms 524 International Airport Delhi,"A Block, N.H.8, Mahipalpur New",Delhi,₹ 3199,₹ 2399,25% OFF,SOLD OUT 
155,OYO Rooms 205 Dwarka Sector 12 Metro Station,Dwarka,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
156,OYO Premium 405 GK1 Near M Block Market,Greater Kailash -1,Delhi,₹ 4499,₹ 3374,25% OFF,SOLD OUT 
157,OYO Rooms 535 Chattarpur,Chandan Hola,Delhi,₹ 4049,₹ 3037,25% OFF,SOLD OUT 
