Type,F1,F2,F3,F4
t,0.302437387,0.19601815,0.498455537,0.332303691
t,0.096138676,0.020359384,0.11649806,0.077665373
t,0.40339348,0.09336955,0.49676303,0.331175353
t,0.324310241,0.09565644,0.419966681,0.279977787
m,0.574838359,0.29017266,0.865011019,0.576674013
m,0.19988867,0.07689215,0.27678082,0.184520547
t,0.369553265,0.211067603,0.580620868,0.387080579
t,0.263882211,0.120489539,0.38437175,0.256247833
t,0.17623053,0.039306854,0.215537384,0.143691589
t,0.196258198,0.026806968,0.223065166,0.148710111
t,0.188514047,0.03631472,0.224828767,0.149885845
t,0.129354611,0.067279836,0.196634447,0.131089631
t,0.179866316,0.06862423,0.248490546,0.165660364
m,0.193183455,0.126396083,0.319579538,0.213053025
t,0.066525637,0.100865147,0.167390784,0.111593856
t,0.499044374,0.169815064,0.668859438,0.445906292
m,0.488030276,0.213452578,0.701482854,0.467655236
m,0.400180648,0.101618809,0.501799457,0.334532971
t,0.192428084,0.046755153,0.239183237,0.159455491
m,0.264143214,0.048012908,0.312156122,0.208104081
t,0.214984224,0.089947334,0.304931558,0.203287705
m,0.100954142,0.07604234,0.176996482,0.117997655
m,-0.130190016,0.146587239,0.016397223,0.010931482
m,-0.00381614,0.071791079,0.067974939,0.045316626
t,0.528719975,0.118817725,0.6475377,0.4316918
t,0.376886451,0.081651069,0.45853752,0.30569168
m,0.06035955,0.041619709,0.101979259,0.067986173
t,0.817406951,0.173877239,0.99128419,0.660856127
t,0.392479772,0.127202898,0.51968267,0.346455113
t,0.237508262,0.123987532,0.361495794,0.240997196
m,0.059831884,0.051034009,0.110865893,0.073910595
m,0.099389106,0.088911228,0.188300334,0.125533556
m,0.073972746,0.054352609,0.128325355,0.085550237
t,0.170435666,0.075704976,0.246140642,0.164093761
m,0.633328021,0.184148425,0.817476446,0.544984297
m,0.399259277,0.086086368,0.485345645,0.323563763
t,0.543238754,0.214417036,0.75765579,0.50510386
t,0.216511383,0.097853635,0.314365018,0.209576679
m,0.070961352,0.046702516,0.117663868,0.078442579
t,0.31939902,0.107613715,0.427012735,0.284675157
m,0.129125528,0.04606703,0.175192558,0.116795039
m,0.251881706,0.049532057,0.301413763,0.200942509
m,0.313610914,0.121173428,0.434784342,0.289856228
m,0.256747902,0.048306939,0.305054841,0.203369894
t,0.190444757,0.10223415,0.292678907,0.195119271
m,0.053194776,0.062637346,0.115832122,0.077221415
m,0.211931575,0.075210772,0.287142347,0.191428231
m,0.592611373,0.290170679,0.882782052,0.588521368
m,-0.072473196,0.044423496,-0.0280497,-0.0186998
t,0.115635323,0.054493729,0.170129052,0.113419368
t,0.28415001,0.050101798,0.334251808,0.222834539
t,0.395671709,0.086155622,0.481827331,0.321218221
t,0.291340184,0.081221936,0.37256212,0.248374747
t,0.654150027,0.187256676,0.841406703,0.560937802
t,0.066888649,0.083265069,0.150153718,0.100102479
t,0.058796334,0.052414941,0.111211275,0.07414085
m,0.27730418,0.177935565,0.455239745,0.303493163
t,0.309914184,0.057744142,0.367658326,0.245105551
t,0.703182882,0.26819052,0.971373402,0.647582268
m,0.813164035,0.304033676,1.117197711,0.744798474
t,0.053230125,0.043124298,0.096354423,0.064236282
m,0.079673575,0.063055706,0.142729281,0.095152854
m,0.067340361,0.080637833,0.147978194,0.098652129
t,0.249551343,0.086358107,0.33590945,0.223939633
t,0.369929051,0.275906934,0.645835985,0.430557323
m,0.024579822,0.050977098,0.07555692,0.05037128
t,0.503408732,0.206088491,0.709497223,0.472998149
m,0.414773243,0.136056919,0.550830162,0.367220108
t,-0.168702361,0.132100578,-0.036601783,-0.024401189
t,0.167632628,0.090608676,0.258241304,0.172160869
m,0.362754543,0.095163442,0.457917985,0.305278657
t,0.405266356,0.085744676,0.491011032,0.327340688
t,0.71291718,0.322388603,1.035305783,0.690203855
t,0.409268516,0.275881679,0.685150195,0.456766797
t,0.222760957,0.152783555,0.375544512,0.250363008
t,0.151174237,0.084708241,0.235882478,0.157254985
m,0.264246879,0.135801676,0.400048555,0.266699037
m,0.461487417,0.11379252,0.575279937,0.383519958
m,-0.129027234,0.102443096,-0.026584138,-0.017722759
t,0.094141553,0.056227323,0.150368876,0.100245917
m,0.141528151,0.046023239,0.18755139,0.12503426
t,-0.257642927,0.025914142,-0.231728785,-0.154485857
t,0.149773182,0.060614751,0.210387933,0.140258622
m,0.366525519,0.139257342,0.505782861,0.337188574
t,1.084207974,0.572995565,1.657203539,1.104802359
t,0.264398708,0.060535842,0.32493455,0.216623033
m,0.290409079,0.173586268,0.463995347,0.309330231
t,0.184163578,0.073549454,0.257713032,0.171808688
t,0.203032227,0.179584057,0.382616284,0.255077523
m,0.106872504,0.080916935,0.187789439,0.125192959
m,0.013506806,0.080892859,0.094399665,0.06293311
m,-0.378745845,0.061248234,-0.317497611,-0.211665074
t,-0.070306695,0.071537568,0.001230873,0.000820582
m,0.339719268,0.173254276,0.512973544,0.341982363
t,0.162796625,0.044131725,0.20692835,0.137952233
m,0.285768431,0.088749128,0.374517559,0.249678373
m,0.449415505,0.161932309,0.611347814,0.407565209
t,-0.117090391,0.06950375,-0.047586641,-0.031724427
m,0.130142179,0.062284476,0.192426655,0.128284437
t,0.132354115,0.052357254,0.184711369,0.123140913
t,-0.030489333,0.143677064,0.113187731,0.075458487
t,0.735252481,0.269029051,1.004281532,0.669521021
m,0.397019911,0.198982182,0.596002093,0.397334729
t,-0.043069874,0.059483878,0.016414004,0.010942669
m,0.014366864,0.041104429,0.055471293,0.036980862
t,0.175058185,0.076883969,0.251942154,0.167961436
t,0.560587489,0.063616242,0.624203731,0.416135821
t,0.133056987,0.050084336,0.183141323,0.122094215
t,0.214752311,0.151518096,0.366270407,0.244180271
t,0.055637502,0.090344657,0.145982159,0.097321439
m,0.32291718,0.087111803,0.410028983,0.273352655
t,-0.026912409,0.041683615,0.014771206,0.009847471
